id,found,center_x,center_y,radius,rms,center_error_px,method,block,time_ms
001,1,1090.09,1192.6,138.625,0.32195,4.68849,algebraic,NONE,46.5799
002,1,296.808,763.475,137.136,0.450229,6.58396,algebraic,VERTICAL_WIRE,36.1942
003,1,3576.71,667.135,135.109,1.18076,1.33809,algebraic,ELLIPSE,22.9452
004,1,509.091,1315.43,138.888,0.445828,4.82132,ransac,VERTICAL_WIRE,39.8528
005,1,1721.09,1736.6,138.625,0.32195,4.68849,algebraic,ELLIPSE,22.4954
006,1,1791.97,934.983,136.709,0.274209,7.05883,algebraic,VERTICAL_WIRE,38.4912
007,1,831.146,1042.03,137.172,1.10595,6.30928,algebraic,VERTICAL_WIRE,41.0905
008,1,1711.09,505.6,138.625,0.32195,4.68855,algebraic,NONE,35.8704
009,1,2027.51,1855.49,137.43,0.914428,5.12885,algebraic,SQUARE,23.9515
010,1,3244.09,949.6,138.625,0.32195,4.68857,algebraic,SQUARE,23.2162
011,1,232.835,1693.95,136.833,0.714733,7.04445,algebraic,ELLIPSE,24.2895
012,0,-1,-1,-1,-1,-1,none,CIRCLE,29.8861
013,1,186.618,1403.89,136.471,1.33539,5.15229,algebraic,VERTICAL_WIRE,34.6633
014,1,3521.09,813.6,138.625,0.32195,4.68857,algebraic,NONE,28.3919
015,1,3564.09,1532.6,138.625,0.32195,4.68851,algebraic,SQUARE,32.2896
016,1,3095.09,1979.6,138.625,0.32195,4.68851,algebraic,ELLIPSE,27.4941
017,1,488.598,1281.58,138.289,1.16913,4.59851,algebraic,SQUARE,32.7425
018,1,1181.09,797.6,138.625,0.32195,4.68855,algebraic,CIRCLE,30.7781
019,0,-1,-1,-1,-1,-1,none,ELLIPSE,37.6891
020,0,-1,-1,-1,-1,-1,none,ELLIPSE,34.6285
021,1,1306.89,1758.69,138.499,0.509413,4.8198,algebraic,ELLIPSE,27.5517
022,1,3591.3,505.844,136.786,0.358976,6.87897,algebraic,ELLIPSE,24.2932
023,1,1557.28,1781.16,135.719,0.466632,8.18705,algebraic,ELLIPSE,23.0918
024,1,381.443,1616.05,134.928,0.777881,9.07177,algebraic,ELLIPSE,35.6573
025,1,2659.09,1247.6,138.625,0.32195,4.68851,algebraic,SQUARE,38.1231
026,1,2486.09,1811.6,138.625,0.32195,4.68851,algebraic,SQUARE,38.523
027,1,1005.09,660.6,138.625,0.32195,4.68856,algebraic,SQUARE,31.8768
028,1,1934.08,606.436,141.078,0.811169,2.39624,ransac,VERTICAL_WIRE,30.7228
029,1,1956.09,1614.6,138.625,0.32195,4.68849,algebraic,NONE,25.1523
030,1,2462.39,604.426,138.006,0.51625,4.70969,algebraic,ELLIPSE,33.0976
031,1,2314.09,326.6,138.625,0.32195,4.68857,algebraic,CIRCLE,23.7543
032,1,2372.61,716.109,137.964,0.590186,5.12465,algebraic,ELLIPSE,35.8392
033,1,1421.09,582.6,138.625,0.32195,4.68855,algebraic,NONE,22.3333
